FIPS,Deaths,Population,Crude_Rate
"18011",Suppressed,63344,Suppressed

"18013",Suppressed,14977,Suppressed

"18015",Suppressed,19856,Suppressed

"18017",Suppressed,37979,Suppressed

"18019",11,115371,Unreliable

"18021",Suppressed,26503,Suppressed

"18023",Suppressed,32609,Suppressed

"18025",Suppressed,10483,Suppressed

"18027",Suppressed,32906,Suppressed

"18029",12,49455,Unreliable

"18031",Suppressed,26521,Suppressed

"18033",Suppressed,42589,Suppressed

"18035",17,116852,Unreliable

"18037",Suppressed,42461,Suppressed

"18039",Suppressed,203474,Suppressed

"18041",Suppressed,23434,Suppressed

"18043",Suppressed,76778,Suppressed

"18045",Suppressed,16591,Suppressed

"18047",Suppressed,22872,Suppressed

"18049",Suppressed,20315,Suppressed

"18051",Suppressed,33775,Suppressed

"18053",11,67979,Unreliable

"18055",Suppressed,32441,Suppressed

"18057",15,309697,Unreliable

"18059",Suppressed,72520,Suppressed

"18061",Suppressed,39578,Suppressed

"18063",Suppressed,158192,Suppressed

"18065",Suppressed,48985,Suppressed

"18067",Suppressed,82556,Suppressed

